Series Name,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
"Primary completion rate, female (% of relevant age group)",Afghanistan,AFG,..,..,..,..,..,..,..,63.60406876,66.68888092,67.12930298,..,..
"Primary completion rate, female (% of relevant age group)",Albania,ALB,..,97.50543213,94.35333252,99.58724213,88.68978882,103.7311478,100.3887177,102.2976532,103.6332321,104.6567688,104.5204315,..
"Primary completion rate, female (% of relevant age group)",Algeria,DZA,69.49523926,79.9070282,97.30979919,101.297821,105.859169,108.9073792,105.4875717,105.5600433,105.7507019,105.6250763,101.5825729,..
"Primary completion rate, female (% of relevant age group)",American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..
"Primary completion rate, female (% of relevant age group)",Andorra,AND,..,..,..,..,..,..,..,..,..,..,..,..
"Primary completion rate, female (% of relevant age group)",Angola,AGO,..,..,33.54656982,..,..,..,..,..,..,..,..,..
"Primary completion rate, female (% of relevant age group)",Antigua and Barbuda,ATG,..,..,98.1554718,..,..,101.7118378,91.02749634,..,96.62757111,98.96450043,..,..
"Primary completion rate, female (% of relevant age group)",Argentina,ARG,..,97.47155762,103.6578522,102.9941177,101.175209,102.5903931,102.4773331,104.3348923,99.69320679,..,..,..
"Primary completion rate, female (% of relevant age group)",Armenia,ARM,..,..,95.53209686,95.65740967,..,96.51783752,95.76216125,91.6685791,92.53565979,89.51941681,92.99519348,..
"Primary completion rate, female (% of relevant age group)",Aruba,ABW,..,97.1255722,..,..,101.2552338,101.5558701,..,..,..,..,..,..
"Primary completion rate, female (% of relevant age group)",Australia,AUS,..,..,..,..,..,..,..,..,..,..,..,..
"Primary completion rate, female (% of relevant age group)",Austria,AUT,..,..,96.20503235,97.21524811,97.05647278,99.0087738,99.93681335,99.59905243,100.0429001,99.81427002,..,..
"Primary completion rate, female (% of relevant age group)",Azerbaijan,AZE,..,85.49742889,92.18356323,91.59458923,86.54667664,97.61051941,101.6183319,109.7202072,107.6183777,100.6412125,100.3731613,..
"Primary completion rate, female (% of relevant age group)","Bahamas, The",BHS,..,..,91.42945862,87.8553772,79.01425934,80.07472229,87.02433014,77.32086945,..,74.85179138,..,..
"Primary completion rate, female (% of relevant age group)",Bahrain,BHR,..,99.21173096,91.9508667,93.60653687,92.93045807,96.31266785,100.2344208,103.0401001,100.3845291,99.27617645,97.32035065,..
"Primary completion rate, female (% of relevant age group)",Bangladesh,BGD,..,..,..,..,..,..,..,..,..,..,..,..
"Primary completion rate, female (% of relevant age group)",Barbados,BRB,..,96.38735962,99.03485107,..,..,..,..,..,..,89.92072296,91.58016205,..
"Primary completion rate, female (% of relevant age group)",Belarus,BLR,..,102.1934814,107.4222031,103.8481827,100.0970078,98.75614166,96.520401,97.59322357,101.4563675,104.6449509,..,..
"Primary completion rate, female (% of relevant age group)",Belgium,BEL,..,..,..,..,..,..,..,..,..,..,..,..
"Primary completion rate, female (% of relevant age group)",Belize,BLZ,..,97.40303802,104.6137924,109.0023117,101.5804214,100.7384796,103.5659332,105.7046127,102.4268036,104.1176529,103.0827484,..
"Primary completion rate, female (% of relevant age group)",Benin,BEN,11.44952965,26.03679085,64.07581329,65.53871155,71.55158997,73.55081177,76.10626221,76.03179932,..,..,61.15882111,..
"Primary completion rate, female (% of relevant age group)",Bermuda,BMU,..,..,88.29786682,84.55284882,97.5138092,..,..,..,..,..,..,..
"Primary completion rate, female (% of relevant age group)",Bhutan,BTN,..,47.52050018,91.89042664,101.0052338,98.83981323,101.9738693,..,105.9708023,104.401123,..,..,..
"Primary completion rate, female (% of relevant age group)",Bolivia,BOL,..,..,97.19909668,97.91980743,94.89639282,90.85175323,88.31674194,89.59416199,91.03054047,94.22058868,..,..
"Primary completion rate, female (% of relevant age group)",Bosnia and Herzegovina,BIH,..,..,..,..,..,..,..,..,..,..,..,..
"Primary completion rate, female (% of relevant age group)",Botswana,BWA,101.3845978,99.26946259,..,102.9921188,102.3818436,..,..,..,..,..,..,..
"Primary completion rate, female (% of relevant age group)",Brazil,BRA,..,..,..,..,..,..,..,..,..,..,..,..
"Primary completion rate, female (% of relevant age group)",British Virgin Islands,VGB,..,..,90.86537933,93.4883728,96.33027649,91.36363983,97.26026917,85.9154892,94.14633942,80.10204315,..,..
"Primary completion rate, female (% of relevant age group)",Brunei Darussalam,BRN,..,109.9019012,110.2836914,106.4958267,105.8717804,100.1509171,103.2565308,..,106.383667,108.3776627,101.3495331,..
"Primary completion rate, female (% of relevant age group)",Bulgaria,BGR,99.11634827,95.69367981,110.0030975,101.2688828,98.25095367,97.65895081,95.77265167,91.75952911,89.12432861,86.13657379,..,..
"Primary completion rate, female (% of relevant age group)",Burkina Faso,BFA,14.23159981,20.87018967,..,56.03268051,62.51211929,62.71221924,63.55690002,64.06780243,66.35379028,68.46311188,68.26204681,..
"Primary completion rate, female (% of relevant age group)",Burundi,BDI,33.59183884,22.14348984,56.40348816,64.5491333,74.14279175,74.30271912,69.50148773,73.10591125,73.53195953,67.89185333,64.48310852,..
"Primary completion rate, female (% of relevant age group)",Cabo Verde,CPV,59.44654083,108.3196335,97.48734283,97.16567993,91.49549103,91.91007233,95.30651093,90.13056946,88.13062286,89.33860016,..,..
"Primary completion rate, female (% of relevant age group)",Cambodia,KHM,..,..,87.35627747,92.78851318,90.55770874,96.64100647,96.21080017,94.23995209,91.86196899,90.25720215,94.66481781,..
"Primary completion rate, female (% of relevant age group)",Cameroon,CMR,54.23118973,46.06726837,65.22852325,68.93682861,..,68.33538055,70.17028809,69.4474411,64.69407654,61.21667862,62.36500168,..
"Primary completion rate, female (% of relevant age group)",Canada,CAN,..,97.89160156,..,..,..,..,..,..,..,..,..,..
"Primary completion rate, female (% of relevant age group)",Cayman Islands,CYM,..,103.4188004,101.5290527,102.0649033,90.51724243,..,..,..,..,89.14141083,..,..
"Primary completion rate, female (% of relevant age group)",Central African Republic,CAF,19.6884594,..,31.53236008,33.57921982,..,..,..,32.83420181,..,..,..,..
"Primary completion rate, female (% of relevant age group)",Chad,TCD,6.31633997,12.65530014,26.00408936,26.27054977,29.11141968,..,29.66902924,33.02814102,30.80994987,33.66102982,..,..
"Primary completion rate, female (% of relevant age group)",Channel Islands,CHI,..,..,..,..,..,..,..,..,..,..,..,..
"Primary completion rate, female (% of relevant age group)",Chile,CHL,..,..,95.82259369,98.91620636,98.27723694,98.89923096,96.83778381,94.91738129,94.13012695,95.7505722,..,..
