Series Name,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Trained teachers in primary education (% of total teachers),Afghanistan,AFG,..,..,..,..,..,..,..,..,..,..,..,..
Trained teachers in primary education (% of total teachers),Albania,ALB,..,..,..,..,..,..,..,..,..,89.92080688,..,..
Trained teachers in primary education (% of total teachers),Algeria,DZA,..,94.63773346,..,..,..,100,100,..,..,..,..,..
Trained teachers in primary education (% of total teachers),American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..
Trained teachers in primary education (% of total teachers),Andorra,AND,..,..,100,100,100,100,100,100,100,100,100,..
Trained teachers in primary education (% of total teachers),Angola,AGO,..,..,47.48641968,..,..,..,..,..,..,..,..,..
Trained teachers in primary education (% of total teachers),Antigua and Barbuda,ATG,..,46.90647125,64.83956909,60.1324501,..,70.16806793,65.29161072,..,55.15151978,52.81863022,..,..
Trained teachers in primary education (% of total teachers),Argentina,ARG,..,..,..,..,..,..,..,..,..,..,..,..
Trained teachers in primary education (% of total teachers),Armenia,ARM,..,..,..,..,..,..,..,..,..,..,73.62438965,..
Trained teachers in primary education (% of total teachers),Aruba,ABW,..,100,99.83444214,99.5008316,..,..,..,..,..,..,..,..
Trained teachers in primary education (% of total teachers),Australia,AUS,..,..,..,..,..,..,..,..,..,..,..,..
Trained teachers in primary education (% of total teachers),Austria,AUT,..,..,..,..,..,..,..,..,..,..,..,..
Trained teachers in primary education (% of total teachers),Azerbaijan,AZE,..,99.93328094,99.98844147,99.99272156,99.56842041,99.35140991,99.27993774,..,98.03781891,99.52143097,99.83148956,..
Trained teachers in primary education (% of total teachers),"Bahamas, The",BHS,..,..,94.28858185,94.43083954,87.40986633,81.46872711,89.64630127,90.06828308,89.64630127,89.7824707,..,..
Trained teachers in primary education (% of total teachers),Bahrain,BHR,..,..,80.33598328,82.06233978,82.1942215,82.76753998,82.48182678,83.69342804,83.74411011,100,100,..
Trained teachers in primary education (% of total teachers),Bangladesh,BGD,..,..,57.73414993,..,..,..,47.57899857,50.43132019,50.4312706,..,..,..
Trained teachers in primary education (% of total teachers),Barbados,BRB,..,..,55.40697861,..,..,68.76876831,65.83332825,69.02768707,79.80635834,76.47058868,75.1072998,..
Trained teachers in primary education (% of total teachers),Belarus,BLR,..,..,99.87734985,99.64398956,99.62850952,99.43707275,99.38716888,99.47286224,99.64884186,99.55487823,..,..
Trained teachers in primary education (% of total teachers),Belgium,BEL,..,..,..,..,..,..,..,..,..,..,..,..
Trained teachers in primary education (% of total teachers),Belize,BLZ,..,54.08641052,47.51150131,54.34432983,48.77629852,60.74967957,67.50392151,72.84483337,..,79.22837067,17.72779083,..
Trained teachers in primary education (% of total teachers),Benin,BEN,..,64.99717712,46.8895607,..,..,67.59375,69.09716797,70.41661072,68.26634979,70.42546082,71.22289276,..
Trained teachers in primary education (% of total teachers),Bermuda,BMU,..,..,100,100,..,100,..,100,..,..,..,..
Trained teachers in primary education (% of total teachers),Bhutan,BTN,..,94.8259201,..,..,..,..,100,100,100,100,..,100
Trained teachers in primary education (% of total teachers),Bolivia,BOL,..,..,..,..,82.8497467,85.62248993,86.60964203,86.7164917,87.79960632,90.37877655,..,..
Trained teachers in primary education (% of total teachers),Bosnia and Herzegovina,BIH,..,..,..,..,..,..,..,..,..,..,..,..
Trained teachers in primary education (% of total teachers),Botswana,BWA,..,89.1553421,..,99.53283691,98.63651276,..,..,..,..,..,..,..
Trained teachers in primary education (% of total teachers),Brazil,BRA,..,..,..,..,..,..,..,..,..,..,..,..
Trained teachers in primary education (% of total teachers),British Virgin Islands,VGB,..,89.02439117,..,..,..,80.28674316,91.60839081,81.21018982,80.13937378,95.14170074,..,..
Trained teachers in primary education (% of total teachers),Brunei Darussalam,BRN,..,..,88.26728821,88.03862762,85.19055176,87.43756104,82.32084656,84.90804291,85.34703827,86.41262817,86.64674377,..
Trained teachers in primary education (% of total teachers),Bulgaria,BGR,..,..,..,..,..,..,..,..,..,..,..,..
Trained teachers in primary education (% of total teachers),Burkina Faso,BFA,..,..,..,94.83248138,85.58638763,84.3585968,85.42001343,73.19373322,85.83756256,87.57572937,88.59324646,..
Trained teachers in primary education (% of total teachers),Burundi,BDI,..,..,94.1818924,94.98715973,..,92.15133667,100,100,100,100,100,..
Trained teachers in primary education (% of total teachers),Cabo Verde,CPV,..,..,92.09287262,94.58728027,..,96.02024078,..,93.25543213,93.43501282,98.55406189,..,..
Trained teachers in primary education (% of total teachers),Cambodia,KHM,..,..,98.92629242,100,100,100,100,100,100,100,100,..
Trained teachers in primary education (% of total teachers),Cameroon,CMR,..,..,67.14954376,78.7775116,..,..,..,..,81.23979187,..,..,..
Trained teachers in primary education (% of total teachers),Canada,CAN,..,..,..,..,..,..,..,..,..,..,..,..
Trained teachers in primary education (% of total teachers),Cayman Islands,CYM,..,97.89029694,94.84848022,97.02970123,88.11881256,..,..,..,..,100,..,..
Trained teachers in primary education (% of total teachers),Central African Republic,CAF,..,..,..,..,..,..,..,..,..,..,..,..
Trained teachers in primary education (% of total teachers),Chad,TCD,..,..,68.48084259,65.96630096,64.98017883,..,..,..,..,..,..,..
Trained teachers in primary education (% of total teachers),Channel Islands,CHI,..,..,..,..,..,..,..,..,..,..,..,..
Trained teachers in primary education (% of total teachers),Chile,CHL,..,..,..,..,..,..,..,..,..,..,..,..
Trained teachers in primary education (% of total teachers),China,CHN,..,..,..,..,..,..,..,..,..,..,..,..
Trained teachers in primary education (% of total teachers),Colombia,COL,..,..,100,100,97.28327179,98.23088074,94.02513885,94.85455322,94.72187805,..,..,..
Trained teachers in primary education (% of total teachers),Comoros,COM,..,..,55.15353012,..,..,..,..,..,..,..,..,..
Trained teachers in primary education (% of total teachers),"Congo, Dem. Rep.",COD,..,..,89.85311127,..,..,94.62352753,..,..,..,92.00002289,..,..
Trained teachers in primary education (% of total teachers),"Congo, Rep.",COG,..,64.55294037,79.32375336,80.31706238,..,..,..,..,..,..,..,..
Trained teachers in primary education (% of total teachers),Costa Rica,CRI,..,..,91.44802094,..,93.97543335,93.98059082,93.90881348,93.75582123,93.52646637,94.36399078,94.52715302,..
Trained teachers in primary education (% of total teachers),Cote d'Ivoire,CIV,..,99.43988037,100,99.38442993,82.80793762,84.94438171,100,100,100,100,100,..
Trained teachers in primary education (% of total teachers),Croatia,HRV,..,100,..,..,..,..,..,..,..,..,..,..
Trained teachers in primary education (% of total teachers),Cuba,CUB,..,100,100,100,100,100,100,100,100,100,100,..
Trained teachers in primary education (% of total teachers),Curacao,CUW,..,..,..,..,..,..,..,..,..,..,..,..
Trained teachers in primary education (% of total teachers),Cyprus,CYP,..,..,..,..,..,..,..,..,..,..,..,..
Trained teachers in primary education (% of total teachers),Czech Republic,CZE,..,..,..,..,..,..,..,..,..,..,..,..
Trained teachers in primary education (% of total teachers),Denmark,DNK,..,..,..,..,..,..,..,..,..,..,..,..
Trained teachers in primary education (% of total teachers),Djibouti,DJI,..,..,100,..,96.00431824,..,100,..,..,100,..,..
Trained teachers in primary education (% of total teachers),Dominica,DMA,..,64.61794281,57.72993851,60.65890884,65.21739197,64.81481171,64.49813843,65.7142868,..,..,62.85713959,..
Trained teachers in primary education (% of total teachers),Dominican Republic,DOM,..,..,84.84960175,85.05393982,81.26602936,81.26631927,87.30252075,87.30123901,94.86077118,94.85418701,..,..
Trained teachers in primary education (% of total teachers),Ecuador,ECU,..,86.97364044,..,..,..,..,..,..,..,..,..,..
Trained teachers in primary education (% of total teachers),"Egypt, Arab Rep.",EGY,..,..,..,..,..,..,..,74.06877899,..,82.71549988,84.64174652,..
Trained teachers in primary education (% of total teachers),El Salvador,SLV,..,..,95.5746994,..,..,..,95.6133194,95.74185181,95.41835022,95.45491028,..,..
Trained teachers in primary education (% of total teachers),Equatorial Guinea,GNQ,..,..,48.82674026,..,..,..,37.22954178,..,..,..,..,..
Trained teachers in primary education (% of total teachers),Eritrea,ERI,..,71.96981812,90.97870636,89.55425262,79.86174774,70.68701935,..,..,..,84.4594574,..,..
Trained teachers in primary education (% of total teachers),Estonia,EST,..,..,..,..,..,..,..,..,..,..,..,..
Trained teachers in primary education (% of total teachers),Eswatini,SWZ,..,90.38292694,77.56295776,67.58101654,79.14659119,81.64859772,82.08409882,69.9680481,87.7128067,..,..,..
Trained teachers in primary education (% of total teachers),Ethiopia,ETH,..,..,..,..,..,..,..,..,..,..,..,..
Trained teachers in primary education (% of total teachers),Faroe Islands,FRO,..,..,..,..,..,..,..,..,..,..,..,..
Trained teachers in primary education (% of total teachers),Fiji,FJI,..,..,100,100,..,..,..,..,..,..,..,..
Trained teachers in primary education (% of total teachers),Finland,FIN,..,..,..,..,..,..,..,..,..,..,..,..
Trained teachers in primary education (% of total teachers),France,FRA,..,..,..,..,..,..,..,..,..,..,..,..
Trained teachers in primary education (% of total teachers),French Polynesia,PYF,..,..,..,..,..,..,..,..,..,..,..,..
