time,net_enrolment_rate_primary,primary_completion_rate,cumulative_drop_out_rate_lower_education
1/1/70,36.86046,26.21988,32.07789
1/1/71,36.86046,26.21988,32.07789
1/1/72,37.95453,25.90564,32.84292
1/1/73,38.30772,26.74415,20
1/1/74,38.30772,27.40321,15.20961
1/1/75,41.20807,28.85369,8.0669
1/1/76,44.13876,31.33734,19.06946
1/1/77,47.72865,33.74489,14.59905
1/1/78,50.99459,37.0692,9.55683
1/1/79,53.43977,39.97634,8.83492
1/1/80,56.10223,42.29988,11.77226
1/1/81,58.7991,43.82444,11.77226
1/1/82,59.14966,46.65505,11.08844
1/1/83,61.50494,48.12917,13
1/1/84,64.02097,49.63852,15
1/1/85,62.73205,58.17382,19.71923
1/1/86,60.98054,56.44995,22.05772
1/1/87,58.98187,55.93227,22.42183
1/1/88,57.27868,52.00148,26.32073
1/1/89,55.17983,44.55058,25.13318
1/1/90,56.02291,50.83808,21
1/1/91,55.67112,47.22322,17.41886
1/1/92,56.17062,45.81441,20.46935
1/1/93,58.30964,46.21888,19.13845
1/1/94,60.944,46.36502,20.35707
1/1/95,63.7744,48.0034,22
1/1/96,66.10001,48.78707,24.29688
1/1/97,67.70415,50.55179,24
1/1/98,66.98136,53.80554,23
1/1/99,77.5728,55.77501,21.03859
1/1/00,80.59673,58.7089,22.57087
1/1/01,82.97661,60.21665,20.54939
1/1/02,85.40091,62.4766,22.14112
1/1/03,86.91408,66.78035,22.33028
1/1/04,86.75596,74.24164,18.55811
1/1/05,87.56886,78.79193,18.55811
1/1/06,88.93148,82.50327,19.33948
1/1/07,90.44626,83.03487,20.2905
1/1/08,90.89053,81.70568,17.39367
1/1/09,89.88029,81.34089,18.09987
1/1/10,93.26132,85.32665,13.54703
1/1/11,94.32136,89.36157,13.32925
1/1/12,93.71399,98.01963,12.01289
1/1/13,95.08994,96.0231,14.13335
1/1/14,94.44273,96.30816,17.96853
1/1/15,94.44273,96.25771,16.07476
1/1/16,95.63341,95.04204,16.2856
1/1/17,97.59754,92.92953,21.19884
1/1/18,99.79441,93.59746,21.19884
